date,price
950,1790.0
951,1769.0
952,1770.75
953,1763.0
954,1767.25
955,1767.0
956,1747.25
957,1737.5
958,1747.75
959,1748.0
960,1732.75
961,1725.0
962,1717.0
963,1708.5
964,1715.0
965,1704.0
966,1712.0
967,1713.5
968,1718.0
969,1723.25
970,1708.25
971,1679.0
972,1691.75
973,1730.5
974,1715.0
975,1732.75
976,1735.75
977,1724.75
978,1724.5
979,1723.5
980,1710.0
981,1723.25
982,1734.0
983,1726.75
984,1729.75
985,1734.75
986,1747.25
987,1747.25
988,1741.0
989,1724.5
990,1728.25
991,1718.0
992,1706.75
993,1703.0
994,1693.0
995,1697.0
996,1708.5
997,1709.75
998,1712.5
999,1694.75
1000,1696.5
1001,1690.0
1002,1699.5
1003,1674.5
1004,1667.0
1005,1648.25
1006,1662.5
1007,1655.25
1008,1658.75
1009,1664.0
1010,1681.5
1011,1684.5
1012,1632.25
1013,1653.75
1014,1653.75
1015,1663.5
1016,1663.0
1017,1669.5
1018,1667.75
1019,1681.0
1020,1679.75
1021,1683.25
1022,1690.0
1023,1688.0
1024,1692.5
1025,1692.25
1026,1677.0
1027,1670.25
1028,1656.75
1029,1660.5
1030,1666.25
1031,1674.5
1032,1665.0
1033,1664.25
1034,1678.0
1035,1670.0
1036,1675.75
1037,1669.75
1038,1663.5
1039,1641.75
1040,1648.0
1041,1644.0
1042,1629.25
1043,1611.25
1044,1613.5
1045,1602.0
1046,1568.5
1047,1580.0
1048,1592.5
1049,1597.25
1050,1608.5
1051,1591.0
1052,1570.0
1053,1578.0
1054,1584.25
1055,1574.0
1056,1580.5
1057,1577.0
1058,1577.5
1059,1582.5
1060,1591.5
1061,1585.0
1062,1593.25
1063,1599.5
1064,1602.5
1065,1611.5
1066,1608.75
1067,1611.5
1068,1602.25
1069,1597.25
1070,1591.0
1071,1602.5
1072,1597.75
1073,1568.5
1074,1545.25
1075,1552.75
1076,1577.25
1077,1572.5
1078,1581.5
1079,1555.75
1080,1548.0
1081,1416.0
1082,1378.0
1083,1379.0
1084,1397.0
1085,1414.0
1086,1425.0
1087,1417.25
1088,1424.5
1089,1446.5
1090,1462.25
1091,1472.5
1092,1472.75
1093,1469.5
1094,1456.0
1095,1476.5
1096,1463.0
1097,1454.0
1098,1469.5
1099,1449.25
1100,1429.75
1101,1436.5
1102,1412.25
1103,1377.0
1104,1376.75
1105,1353.75
1106,1378.75
1107,1385.25
1108,1386.0
1109,1385.25
1110,1379.0
1111,1384.5
1112,1406.25
1113,1410.25
1114,1396.75
1115,1405.25
1116,1396.5
1117,1399.5
1118,1410.0
1119,1376.75
1120,1369.5
1121,1377.25
1122,1386.25
1123,1379.75
1124,1386.0
1125,1378.5
1126,1366.0
1127,1303.25
1128,1290.25
1129,1283.25
1130,1285.0
1131,1229.0
1132,1232.0
1133,1203.25
1134,1243.5
1135,1260.75
1136,1246.0
1137,1249.5
1138,1232.75
1139,1225.5
1140,1252.0
1141,1252.25
1142,1280.75
1143,1275.0
1144,1281.25
1145,1286.0
1146,1284.25
1147,1279.75
1148,1286.0
1149,1313.75
1150,1326.75
1151,1340.0
1152,1312.0
1153,1327.75
1154,1330.75
1155,1322.25
1156,1331.5
1157,1323.75
1158,1285.75
1159,1311.0
1160,1292.0
1161,1275.5
1162,1287.75
1163,1305.5
1164,1325.75
1165,1334.0
1166,1323.25
1167,1339.5
1168,1360.75
1169,1375.25
1170,1365.75
1171,1360.0
1172,1370.5
1173,1374.5
1174,1411.0
1175,1425.5
1176,1406.25
1177,1392.75
1178,1391.25
1179,1391.25
1180,1403.75
1181,1391.75
1182,1368.25
1183,1386.0
1184,1373.0
1185,1365.25
1186,1340.25
1187,1308.25
1188,1314.75
1189,1317.25
1190,1299.75
1191,1363.5
1192,1355.25
1193,1321.75
1194,1316.5
1195,1320.25
1196,1332.5
1197,1321.5
1198,1335.75
1199,1332.25
1200,1293.75
1201,1309.0
1202,1316.0
1203,1311.0
1204,1321.0
1205,1309.5
1206,1298.0
1207,1285.75
1208,1276.0
1209,1255.5
1210,1278.25
1211,1308.5
1212,1317.0
1213,1316.0
1214,1311.75
1215,1333.0
1216,1336.25
1217,1341.75
1218,1351.0
1219,1346.75
1220,1349.5
1221,1333.75
1222,1314.75
1223,1314.25
1224,1311.25
1225,1317.0
1226,1316.0
1227,1309.0
1228,1283.75
1229,1281.0
1230,1276.0
1231,1283.25
1232,1281.75
1233,1283.5
1234,1272.25
1235,1271.5
1236,1248.5
1237,1241.75
1238,1231.75
1239,1250.75
1240,1250.75
1241,1241.75
1242,1245.25
1243,1237.5
1244,1219.0
1245,1213.0
1246,1234.0
1247,1230.75
1248,1228.5
1249,1245.75
1250,1255.25
1251,1243.5
1252,1222.75
1253,1229.5
1254,1237.25
1255,1233.25
1256,1205.25
1257,1195.0
1258,1192.75
1259,1196.5
1260,1209.25
1261,1201.5
1262,1201.5
1263,1219.75
1264,1232.25
1265,1238.0
1266,1237.5
1267,1226.5
1268,1226.0
1269,1232.25
1270,1246.0
1271,1248.75
1272,1238.0
1273,1237.25
1274,1241.0
1275,1254.75
1276,1247.75
1277,1239.5
1278,1244.25
1279,1259.25
1280,1270.0
1281,1253.5
1282,1254.75
1283,1254.0
1284,1246.5
1285,1246.5
1286,1253.0
1287,1257.0
1288,1258.5
1289,1260.0
1290,1273.5
1291,1282.75
1292,1286.5
1293,1290.25
1294,1308.5
1295,1326.0
1296,1314.0
1297,1318.75
1298,1313.75
1299,1320.75
1300,1333.0
1301,1332.75
1302,1340.0
1303,1331.0
1304,1327.75
1305,1344.25
1306,1339.5
1307,1333.5
1308,1334.25
1309,1348.25
1310,1334.25
1311,1348.0
1312,1355.75
1313,1371.0
1314,1370.0
1315,1379.0
1316,1362.5
1317,1346.0
1318,1327.0
1319,1338.5
1320,1322.0
1321,1314.75
1322,1314.5
1323,1295.0
1324,1295.75
1325,1294.0
1326,1286.5
1327,1284.0
1328,1287.25
1329,1293.5
1330,1299.0
1331,1314.75
1332,1309.75
1333,1321.5
1334,1317.25
1335,1324.5
1336,1311.5
1337,1299.0
1338,1299.25
1339,1290.75
1340,1283.5
1341,1283.5
1342,1294.25
1343,1302.0
1344,1289.75
1345,1292.0
1346,1283.0
1347,1285.0
1348,1308.5
1349,1311.0
1350,1291.25
1351,1289.0
1352,1292.75
1353,1292.75
1354,1300.25
1355,1303.75
1356,1293.75
1357,1301.0
1358,1291.5
1359,1292.0
1360,1294.5
1361,1292.0
1362,1283.0
1363,1265.25
1364,1254.0
1365,1254.0
1366,1244.75
1367,1244.25
1368,1246.0
1369,1244.75
1370,1254.0
1371,1255.0
1372,1253.5
1373,1262.5
1374,1261.75
1375,1273.0
1376,1281.75
1377,1264.5
1378,1269.0
1379,1282.0
1380,1310.0
1381,1313.5
1382,1323.0
1383,1312.0
1384,1311.5
1385,1315.25
1386,1313.0
1387,1325.75
1388,1326.75
1389,1322.5
1390,1321.5
1391,1313.25
1392,1318.25
1393,1322.5
1394,1343.25
1395,1336.5
1396,1321.25
1397,1312.0
1398,1297.5
1399,1302.75
1400,1310.25
1401,1312.75
1402,1307.0
1403,1307.5
1404,1300.0
1405,1292.5
1406,1305.0
1407,1307.5
1408,1297.5
1409,1295.0
1410,1284.5
1411,1293.5
1412,1292.75
1413,1288.5
1414,1302.0
1415,1317.5
1416,1308.25
1417,1311.0
1418,1309.25
1419,1315.0
1420,1313.6
1421,1302.75
1422,1300.25
1423,1294.5
1424,1280.5
1425,1281.0
1426,1286.5
1427,1285.0
1428,1288.0
1429,1285.75
1430,1287.25
1431,1277.75
1432,1268.5
1433,1271.0
1434,1264.0
1435,1267.25
1436,1256.0
1437,1254.25
1438,1247.0
1439,1237.25
1440,1234.75
1441,1238.75
1442,1236.5
1443,1223.0
1444,1222.5
1445,1214.0
1446,1225.0
1447,1224.0
1448,1210.5
1449,1222.25
1450,1217.75
1451,1210.0
1452,1208.5
1453,1214.5
1454,1207.5
1455,1193.25
1456,1207.5
1457,1220.0
1458,1227.5
1459,1222.25
1460,1228.0
1461,1233.0
1462,1223.5
1463,1241.0
1464,1238.0
1465,1241.0
1466,1251.75
1467,1246.75
1468,1240.5
1469,1231.75
1470,1230.5
1471,1228.25
1472,1228.0
1473,1205.75
1474,1173.25
1475,1170.75
1476,1169.25
1477,1145.25
1478,1144.5
1479,1145.0
1480,1172.0
1481,1151.25
1482,1163.25
1483,1161.0
1484,1154.0
1485,1187.0
1486,1202.0
1487,1200.75
1488,1194.0
1489,1193.25
1490,1196.0
1491,1202.25
1492,1195.75
1493,1196.5
1494,1184.5
1495,1178.75
1496,1197.0
1497,1203.25
1498,1204.0
1499,1204.5
1500,1195.25
1501,1206.5
1502,1228.25
1503,1219.5
1504,1223.5
1505,1210.75
1506,1199.25
1507,1199.0
1508,1210.75
1509,1197.5
1510,1195.25
1511,1179.5
1512,1177.0
1513,1194.0
1514,1186.5
1515,1199.25
1516,1184.25
1517,1192.0
1518,1211.0
1519,1213.75
1520,1206.5
1521,1211.25
1522,1222.0
1523,1239.0
1524,1228.75
1525,1235.25
1526,1258.25
1527,1275.5
1528,1292.25
1529,1298.0
1530,1287.0
1531,1293.5
1532,1282.75
1533,1279.0
1534,1287.0
1535,1275.5
1536,1263.5
1537,1274.25
1538,1281.0
1539,1269.25
1540,1263.75
1541,1264.0
1542,1242.25
1543,1237.5
1544,1235.5
1545,1225.25
1546,1225.75
1547,1233.5
1548,1221.75
1549,1206.5
1550,1217.75
1551,1203.5
1552,1193.5
1553,1195.5
1554,1206.5
1555,1220.0
1556,1205.0
1557,1216.75
1558,1207.75
1559,1204.25
1560,1199.75
1561,1196.5
1562,1173.75
1563,1161.0
1564,1158.75
1565,1161.25
1566,1156.5
1567,1157.0
1568,1154.75
1569,1149.0
1570,1164.0
1571,1171.75
1572,1181.4
1573,1193.25
1574,1192.55
1575,1209.4
1576,1198.0
1577,1187.4
1578,1179.25
1579,1181.25
1580,1201.5
1581,1208.5
1582,1211.1
1583,1196.0
1584,1201.9
1585,1197.85
1586,1191.45
1587,1189.85
1588,1204.6
1589,1204.55
1590,1203.25
1591,1197.7
1592,1202.4
1593,1187.75
1594,1192.15
1595,1182.75
1596,1201.4
1597,1204.8
1598,1204.3
1599,1179.0
1600,1187.4
1601,1191.25
1602,1183.0
1603,1185.25
1604,1184.75
1605,1184.45
1606,1193.0
1607,1214.75
1608,1216.3
1609,1228.15
1610,1219.65
1611,1206.75
1612,1209.6
1613,1211.0
1614,1194.0
1615,1187.85
1616,1189.45
1617,1190.4
1618,1187.3
1619,1188.75
1620,1186.6
1621,1182.45
1622,1175.9
1623,1173.4
1624,1181.0
1625,1186.0
1626,1180.5
1627,1179.25
1628,1178.25
1629,1182.1
1630,1178.5
1631,1198.0
1632,1198.15
1633,1193.7
1634,1183.35
1635,1175.75
1636,1174.6
1637,1174.4
1638,1176.5
1639,1175.0
1640,1171.7
1641,1164.3
1642,1168.25
1643,1164.25
1644,1166.25
1645,1154.25
1646,1162.1
1647,1162.4
1648,1154.95
1649,1153.2
1650,1154.75
1651,1145.1
1652,1143.0
1653,1115.0
1654,1108.0
1655,1096.8
1656,1101.65
1657,1083.75
1658,1098.6
1659,1095.6
1660,1096.75
1661,1085.65
1662,1080.05
1663,1093.0
1664,1092.6
1665,1086.5
1666,1085.0
1667,1091.35
1668,1094.8
1669,1113.25
1670,1116.8
1671,1117.35
1672,1116.75
1673,1117.3
1674,1119.15
1675,1123.2
1676,1137.95
1677,1149.35
1678,1153.5
1679,1154.25
1680,1134.4
1681,1128.5
1682,1125.5
1683,1141.9
1684,1140.0
1685,1130.05
1686,1125.0
1687,1121.0
1688,1120.85
1689,1122.3
1690,1107.75
1691,1106.35
1692,1108.0
1693,1105.5
1694,1109.75
1695,1118.15
1696,1136.0
1697,1136.85
1698,1129.3
1699,1124.6
1700,1134.45
1701,1145.5
1702,1137.5
1703,1124.6
1704,1122.5
1705,1114.2
1706,1106.3
1707,1134.35
1708,1136.9
1709,1147.9
1710,1143.3
1711,1151.5
1712,1164.2
1713,1154.4
1714,1173.7
1715,1183.35
1716,1176.35
1717,1171.65
1718,1173.7
1719,1174.4
1720,1166.45
1721,1171.55
1722,1168.5
1723,1165.75
1724,1171.5
1725,1159.0
1726,1147.75
1727,1135.8
1728,1130.9
1729,1118.0
1730,1107.3
1731,1107.7
1732,1095.6
1733,1092.5
1734,1088.6
1735,1087.6
1736,1083.75
1737,1094.5
1738,1080.8
1739,1070.5
1740,1073.1
1741,1085.15
1742,1068.35
1743,1073.0
1744,1072.2
1745,1070.5
1746,1064.65
1747,1055.65
1748,1069.25
1749,1066.9
1750,1050.6
1751,1063.0
1752,1082.7
1753,1071.75
1754,1078.4
1755,1072.0
1756,1067.2
1757,1068.0
1758,1069.15
1759,1065.75
1760,1065.85
1761,1055.25
1762,1071.15
1763,1077.0
1764,1071.5
1765,1071.9
1766,1067.25
1767,1067.8
1768,1062.25
1769,1072.7
1770,1078.0
1771,1083.85
1772,1096.0
1773,1097.45
1774,1104.7
1775,1094.85
1776,1081.8
1777,1090.75
1778,1081.1
1779,1090.45
1780,1087.0
1781,1093.2
1782,1096.8
1783,1097.65
1784,1103.7
1785,1114.7
1786,1116.5
1787,1119.0
1788,1112.9
1789,1122.0
1790,1123.6
1791,1130.0
1792,1146.25
1793,1158.5
1794,1173.4
1795,1188.9
1796,1183.4
1797,1223.25
1798,1239.5
1799,1208.45
1800,1212.0
1801,1202.4
1802,1204.4
1803,1221.5
1804,1203.65
1805,1218.75
1806,1232.25
1807,1235.4
1808,1231.0
1809,1234.15
1810,1240.0
1811,1229.35
1812,1241.95
1813,1271.5
1814,1267.6
1815,1274.1
1816,1258.25
1817,1247.25
1818,1262.25
1819,1256.55
1820,1233.6
1821,1233.1
1822,1269.6
1823,1254.5
1824,1244.25
1825,1251.8
1826,1232.2
1827,1216.45
1828,1216.45
1829,1238.2
1830,1233.6
1831,1232.1
1832,1215.0
1833,1231.5
1834,1225.75
1835,1237.5
1836,1235.0
1837,1247.25
1838,1259.2
1839,1245.75
1840,1240.3
1841,1229.75
1842,1237.7
1843,1241.7
1844,1247.75
1845,1257.65
1846,1245.4
1847,1230.85
1848,1234.5
1849,1244.75
1850,1256.6
1851,1274.5
1852,1296.5
1853,1280.3
1854,1275.75
1855,1280.25
1856,1277.75
1857,1264.85
1858,1271.8
1859,1268.3
1860,1275.15
1861,1281.0
1862,1270.1
1863,1270.9
1864,1253.75
1865,1256.5
1866,1250.4
1867,1242.65
1868,1220.75
1869,1226.65
1870,1221.25
1871,1210.5
1872,1216.25
1873,1215.5
1874,1211.0
1875,1240.55
1876,1241.1
1877,1252.4
1878,1258.35
1879,1266.6
1880,1284.1
1881,1279.4
1882,1282.0
1883,1307.0
1884,1284.5
